track_id,class,frame,timestamp_sec,direction
7,car,28,1.12,backward
8,car,31,1.24,backward
5,car,79,3.16,forward
11,car,80,3.2,backward
15,truck,130,5.2,backward
9,car,141,5.64,forward
16,car,154,6.16,backward
18,car,158,6.32,backward
13,car,164,6.56,forward
12,car,171,6.84,forward
19,car,173,6.92,backward
22,car,192,7.68,backward
25,truck,205,8.2,backward
27,car,215,8.6,backward
17,car,228,9.12,forward
29,car,248,9.92,backward
20,car,291,11.64,forward
38,car,343,13.72,backward
41,car,368,14.72,backward
43,car,373,14.92,backward
34,truck,406,16.24,forward
47,car,414,16.56,backward
42,car,434,17.36,forward
53,car,475,19.0,backward
49,car,486,19.44,forward
46,truck,487,19.48,forward
52,car,504,20.16,forward
54,car,531,21.24,forward
59,car,539,21.56,backward
55,car,556,22.24,forward
57,car,583,23.32,forward
56,car,602,24.08,forward
68,truck,619,24.76,backward
62,truck,628,25.12,forward
64,car,658,26.32,forward
73,car,694,27.76,forward
80,car,743,29.72,backward
79,car,747,29.88,backward
74,truck,754,30.16,forward
89,car,788,31.52,backward
90,car,816,32.64,backward
88,car,864,34.56,forward
92,car,877,35.08,forward
95,car,882,35.28,backward
91,car,887,35.48,forward
94,car,914,36.56,forward
99,car,948,37.92,backward
97,car,992,39.68,forward
96,car,993,39.72,forward
103,truck,995,39.8,backward
104,car,1021,40.84,backward
100,car,1044,41.76,forward
