track_id,vehicle_type,violation_type,frame,timestamp_sec
6,car,restricted_zone,1,0.04
12,motorcycle,restricted_zone,1,0.04
18,car,restricted_zone,1,0.04
1,car,wrong_way,5,0.2
2,car,wrong_way,5,0.2
4,car,wrong_way,5,0.2
5,car,wrong_way,5,0.2
7,car,wrong_way,5,0.2
9,car,wrong_way,5,0.2
10,car,wrong_way,5,0.2
11,car,wrong_way,5,0.2
14,car,wrong_way,5,0.2
16,car,wrong_way,5,0.2
12,motorcycle,wrong_way,7,0.28
19,car,wrong_way,7,0.28
17,car,wrong_way,8,0.32
22,car,wrong_way,9,0.36
13,car,wrong_way,9,0.36
8,motorcycle,wrong_way,10,0.4
6,car,wrong_way,11,0.44
28,car,wrong_way,11,0.44
30,car,wrong_way,12,0.48
26,car,wrong_way,12,0.48
3,car,wrong_way,16,0.64
32,car,wrong_way,23,0.92
3,car,restricted_zone,28,1.12
39,truck,restricted_zone,30,1.2
39,truck,wrong_way,34,1.36
42,car,wrong_way,35,1.4
36,car,wrong_way,39,1.56
18,car,wrong_way,39,1.56
50,truck,restricted_zone,40,1.6
52,car,wrong_way,49,1.96
51,car,wrong_way,49,1.96
53,car,wrong_way,51,2.04
65,truck,restricted_zone,68,2.72
67,truck,restricted_zone,70,2.8
68,car,wrong_way,75,3.0
73,car,wrong_way,82,3.28
70,car,wrong_way,85,3.4
79,car,wrong_way,92,3.68
81,truck,restricted_zone,99,3.96
83,motorcycle,wrong_way,124,4.96
85,truck,restricted_zone,125,5.0
87,truck,restricted_zone,136,5.44
91,car,wrong_way,147,5.88
89,car,wrong_way,147,5.88
95,car,wrong_way,150,6.0
92,car,wrong_way,151,6.04
97,car,wrong_way,156,6.24
99,car,wrong_way,164,6.56
105,car,wrong_way,174,6.96
115,car,wrong_way,189,7.56
121,car,wrong_way,206,8.24
133,car,wrong_way,224,8.96
131,car,wrong_way,228,9.12
149,truck,restricted_zone,247,9.88
150,car,wrong_way,252,10.08
157,car,wrong_way,259,10.36
158,car,wrong_way,259,10.36
165,motorcycle,restricted_zone,260,10.4
161,car,wrong_way,261,10.44
143,car,wrong_way,262,10.48
172,truck,wrong_way,271,10.84
179,motorcycle,restricted_zone,275,11.0
180,car,wrong_way,280,11.2
157,car,restricted_zone,286,11.44
182,car,wrong_way,286,11.44
186,car,wrong_way,297,11.88
