track_id,vehicle_type,violation_type,frame,timestamp_sec
2,car,restricted_zone,1,0.03
4,car,restricted_zone,1,0.03
5,truck,restricted_zone,1,0.03
6,car,restricted_zone,1,0.03
7,bus,restricted_zone,1,0.03
18,car,restricted_zone,4,0.13
21,bus,restricted_zone,5,0.17
22,car,restricted_zone,5,0.17
4,car,wrong_way,44,1.47
433,car,restricted_zone,116,3.87
435,car,restricted_zone,117,3.9
440,car,restricted_zone,118,3.94
445,car,restricted_zone,119,3.97
448,bus,restricted_zone,123,4.1
498,bus,restricted_zone,138,4.6
513,car,restricted_zone,142,4.74
517,truck,restricted_zone,143,4.77
522,car,restricted_zone,144,4.8
571,car,restricted_zone,161,5.37
578,car,restricted_zone,163,5.44
656,car,restricted_zone,188,6.27
657,car,restricted_zone,188,6.27
671,car,restricted_zone,191,6.37
571,car,wrong_way,220,7.34
776,car,restricted_zone,231,7.71
865,car,restricted_zone,258,8.61
848,car,wrong_way,273,9.11
954,car,restricted_zone,283,9.44
1021,bus,restricted_zone,304,10.14
1072,car,restricted_zone,317,10.58
1076,car,restricted_zone,318,10.61
1172,car,restricted_zone,360,12.01
1168,bus,restricted_zone,361,12.05
1185,car,restricted_zone,363,12.11
