epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.5088,1.00025,3.33098,1.22969,0.02068,0.38016,0.24228,0.18213,0.78193,3.61157,0.99653,0.000381944,0.000381944,0.000381944
2,65.0631,0.91692,2.21748,1.14815,0.95785,0.16304,0.22867,0.13905,0.98795,3.2313,1.16947,0.000764236,0.000764236,0.000764236
3,104.728,1.00375,1.73345,1.19281,0.90674,0.19565,0.51424,0.34452,1.15931,2.92291,1.23031,0.00111066,0.00111066,0.00111066
4,139.38,0.93297,1.43207,1.13914,0.87153,0.22826,0.60609,0.37713,1.12359,4.88821,1.33981,0.00108859,0.00108859,0.00108859
5,175.856,0.95987,1.46938,1.12164,0.72751,0.41474,0.65473,0.42061,1.24558,3.11954,1.38904,0.00103478,0.00103478,0.00103478
6,214.921,0.90527,1.28654,1.09339,0.63372,0.44389,0.68619,0.444,1.16628,2.90752,1.34281,0.000980978,0.000980978,0.000980978
7,255.647,0.914,1.26092,1.10949,0.75208,0.6278,0.81426,0.53913,1.08424,2.30176,1.22772,0.000927174,0.000927174,0.000927174
8,293.54,0.859,1.15978,1.07725,0.79305,0.64231,0.84226,0.60007,1.07644,1.93731,1.17183,0.00087337,0.00087337,0.00087337
9,331.84,0.88681,1.15215,1.0966,0.89611,0.65693,0.865,0.60182,1.08974,1.95601,1.17512,0.000819565,0.000819565,0.000819565
10,364.701,0.83567,1.10265,1.08116,0.83633,0.73383,0.87283,0.62504,1.02365,1.69554,1.16146,0.000765761,0.000765761,0.000765761
11,404.989,0.88491,1.08309,1.05985,0.83849,0.81555,0.89779,0.63912,1.0171,1.73557,1.14882,0.000711957,0.000711957,0.000711957
12,445.02,0.79061,0.97788,1.03626,0.77667,0.85306,0.90879,0.6601,1.01836,1.55435,1.13152,0.000658152,0.000658152,0.000658152
13,483.14,0.79027,0.98185,1.04153,0.90381,0.82236,0.92611,0.69278,0.97975,1.31767,1.12169,0.000604348,0.000604348,0.000604348
14,519.572,0.80909,1.27305,1.03802,0.87546,0.83526,0.92398,0.6905,0.97695,1.37886,1.13122,0.000550543,0.000550543,0.000550543
15,552.881,0.78207,1.21062,1.02875,0.86252,0.78595,0.91169,0.70063,0.93929,1.42739,1.1111,0.000496739,0.000496739,0.000496739
16,583.896,0.72921,1.14464,0.99419,0.85292,0.82226,0.9146,0.70558,0.91328,1.34587,1.09206,0.000442935,0.000442935,0.000442935
17,616.138,0.73299,1.10827,0.98172,0.9015,0.84424,0.93659,0.72367,0.87246,1.20267,1.08787,0.00038913,0.00038913,0.00038913
18,647.618,0.69208,1.00888,0.97567,0.89038,0.88018,0.93088,0.71348,0.85262,1.17484,1.06653,0.000335326,0.000335326,0.000335326
19,682.363,0.66244,0.98499,0.96483,0.92786,0.86633,0.93182,0.73443,0.83488,1.12589,1.04015,0.000281522,0.000281522,0.000281522
20,722.325,0.64086,0.96292,0.94794,0.91684,0.86779,0.93224,0.73776,0.8239,1.09616,1.02218,0.000227717,0.000227717,0.000227717
21,764.877,0.62996,0.92764,0.94602,0.92108,0.85663,0.93629,0.75017,0.79357,1.06491,0.99415,0.000173913,0.000173913,0.000173913
22,806.926,0.62152,0.88372,0.91792,0.92047,0.85991,0.93426,0.7538,0.78881,1.05314,0.98758,0.000120109,0.000120109,0.000120109
23,861.724,0.64023,0.90066,0.95631,0.91405,0.87144,0.93894,0.75189,0.77502,1.03917,0.97359,6.63043e-05,6.63043e-05,6.63043e-05
