epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.8354,0.9989,3.33864,1.22717,0.01899,0.45452,0.2321,0.18372,0.74836,3.61146,0.99173,0.000381944,0.000381944,0.000381944
2,66.58,0.96187,2.20719,1.15031,1,0.02915,0.19894,0.10074,0.9911,3.37564,1.17666,0.000742138,0.000742138,0.000742138
3,108.478,1.0198,1.74109,1.19884,0.89637,0.18478,0.58372,0.39073,1.00782,2.77397,1.20532,0.0010434,0.0010434,0.0010434
4,146.555,1.03212,1.59997,1.19433,0.8234,0.25467,0.62161,0.45453,1.03919,2.6811,1.21598,0.000984821,0.000984821,0.000984821
5,177.489,0.93845,1.75287,1.11692,0.7751,0.36425,0.8202,0.57397,0.96303,3.55411,1.23472,0.000896429,0.000896429,0.000896429
6,208.049,0.88982,1.5465,1.06021,0.7547,0.50847,0.86619,0.61029,0.94755,2.61291,1.17221,0.000808036,0.000808036,0.000808036
7,243.282,0.8377,1.45709,1.05347,0.66529,0.73352,0.89922,0.67437,0.88157,2.56081,1.11676,0.000719643,0.000719643,0.000719643
8,279.904,0.81992,1.32853,1.01071,0.71529,0.76235,0.89887,0.68258,0.85016,1.89062,1.07336,0.00063125,0.00063125,0.00063125
9,316.786,0.81509,1.31516,1.02427,0.81993,0.80587,0.90567,0.69947,0.84665,1.55113,1.07406,0.000542857,0.000542857,0.000542857
10,351.073,0.76727,1.22836,1.02451,0.85128,0.81534,0.91067,0.68449,0.89393,1.50901,1.10553,0.000454464,0.000454464,0.000454464
11,381.989,0.76229,1.19688,1.0042,0.88312,0.8453,0.92716,0.7047,0.82639,1.30102,1.04325,0.000366071,0.000366071,0.000366071
12,412.672,0.72825,1.13558,0.97504,0.87458,0.85961,0.91693,0.70211,0.81988,1.27164,1.03583,0.000277679,0.000277679,0.000277679
13,447.075,0.72078,1.1117,0.99262,0.90456,0.87216,0.92031,0.70859,0.81015,1.23319,1.02349,0.000189286,0.000189286,0.000189286
14,486.566,0.69576,1.10072,0.99944,0.91076,0.8701,0.9286,0.71994,0.80319,1.222,1.01307,0.000100893,0.000100893,0.000100893
